report,category,severity
"A cruise ship passenger was in the bathroom, when they lost their balance and fell to the floor resulting in a fracture to their right hip. The passenger was referred to an onshore hospital for further evaluation.",Accident to person(s),Low
"A ro-pax vessel was transiting a buoyed channel when the starboard quarter of the vessel cam into contact with a buoy. There was no damage to either the buoy or the vessel, apart from some paint scuffs on the hull of the vessel. The incident occurred reportedly due to the bridge team misjudging the turn and the drift angle of the vessel causing them to stray to the edge of the buoyed channel whilst turning the vessel. ",Contact,Critical
A chemical/products tanker had a non-SOLAS compliant pilot ladder due to the fact that the distance between the pilot slant and the straight ladder was too far. The pilot informed the captain and the vessel crew rectified it before use. ,Damage / Loss Of Equipment,Critical
"Pilot ladder non-conformity. A tripping line was fitted to the bottom of the ladder or was not rigged in accordance with IMO requirements. The ladder was resting on the fishplate, no round-bar fitted to prevent chafing damage to side ropes. The ladder was secured with shackles rather than rope lashings, contrary to UK requirements. ",Damage / Loss Of Equipment,Critical
A search and rescue (SAR) vessel was launched to assist a yacht aground on a beach. The SAR vessel arrived and was making an assessment of the situation manoeuvring with searchlights on the yacht when an unexpected swell took the SAR vessel to the shore resulting in the vessel grounding. With one crew member assisting from the beach the SAR vessel was able to get back out to deep water. This resulted in damage to both propellers which were replaced.,Grounding / Stranding,Low
A tanker suffered an electrical fire in the engine control room whilst discharging cargo. Cargo operations were stopped when the fire alarm was activated. The fire was extinguished by a crew member using a portable CO2 extinguisher. The fire was inside the breaker panel for the cargo compressor power. The vessel delayed cargo discharge until it was confirmed that everything was safe to continue. The vessel then completed discharge and sailed later than expected with a tug standby for assistance if necessary. The fire was reportedly caused by a loose connection in automation of compressor 2 in MSB (main switchboard) panel 1. ,Fire / Explosion,Critical
"Ladder found not to be rigged per current SOLAS regulations, used a hinged outboard deck tongue and crew members were unaware this was illegal at the vessels previous port. Explained how to set it up properly and safely.",Damage / Loss Of Equipment,Critical
"On board a cruise ship, a crew member engaged in the task of cleaning the galley ventilation ducts accidentally sprayed cleaning chemicals into their eyes. When lifting the de-greaser bottle from the storage bucket, they accidentally triggered the spray control and splashed it onto their eyes. First aid was administered but they still sustained chemical burns to their eyes and were off work for more than 3 days.",Accident to person(s),Low
A search and rescue (SAR) vessel was returning to shore for a recovery. During the recovery the SAR vessel was lifted by a wave and made contact with carriage.  No injuries to crew.  The propeller was damaged.,Contact,Critical
"Ladder was not rigged per current SOLAS regulations. The rigging of the pilot ladder was not checked, or the embarkation and/or disembarkation of the pilot was not supervised by a watch keeping deck officer.",Damage / Loss Of Equipment,Critical
"A sail training vessel was alongside when the mast fell down, narrowly missing the vessel's two occupants. The mast was held in place with a steel bracket bracing against the mast where a bolt was supposed to be fitted to secure it. One bolt was missing but the mast was considered to be secure enough.  The mast had been stepped before the vessel was launched. After launching the vessel was moved a short distance to the berth and secured. A motor catamaran passed the marina and the subsequent vessel movement from the wash caused the mast to break free and fall down. The operations manager reported that they underestimated the potential for movement. The procedure was not followed for correct securing. There were no injuries, damages or pollution. ",Damage / Loss Of Equipment,Critical
A sail training vessel was departing port when it temporarily lost propulsion after an issue with the heat exchanger. The crew made the decision to return to port. No damage was sustained to the vessel and no persons were injured. ,Loss Of Control,Critical
"A shore operative thought that two crew transfer vessels that were inbound had cleared the outer lock gates. The shore operative went ahead to close the outer gates, as they began to close, the gate clipped the one of the vessel's mid ship/ port quarter, the vessel reported it over the radio. There was no damage to the gates and they continued to close normally. The vessel had a slight scuff to the paintwork on the port side.",Contact,Critical
Sailing vessel crewmember fell while working on the mast and injured their ribs. CRT were tasked to assist the casualty from the vessel into the care of the ambulance crew. ,Accident to person(s),Low
"Whilst on a trial the vessel suffered a total electrical failure, with subsequent loss of propulsion. The vessel was assisted by another vessel.",Loss Of Control,Critical
"A lifeboat damaged its propeller whilst launching after it came into contact with a fender due to an 'incorrect' tilt of the vessel whilst launching. There were no injuries, pollution or significant damages and the boat was not off-service at any point due to the incident. ",Contact,Critical
"A crewmember fell from their tender while returning to their houseboat moored on a river. The alarm was raised by a member of public who reported him holding on to pile. RNLI attended found man submerged between two moored boats. River temp 6-8C, not wearing a PFD.  CPR conducted but subsequently declared deceased at hospital. ",Accident to person(s),High
Chartered vessel fouled their anchor and were towed by a sailing vessel. A workboat took up the tow and proceeded to the harbour limits. ,Loss Of Control,Critical
"A wooden recreational motor vessel sprung a leak whilst it was moored alongside and began to progressively flood before foundering. The single crewmember who was inside the cabin sleeping at the time, was initially trapped but managed to make their way out to the wheelhouse roof and was rescued. They suffered the effects of hypothermia due to the night time air and the cold water but they were not severely injured. The boat was reportedly in poor condition and the leak was potentially due to hull failure or failure of a seacock. The vessel was considered a constructive total loss. ",Flooding / Foundering,High
"A tanker crew used a non-compliant heaving line. The vessel crew had used a monkey's fist that was painted so that it was hard, presenting a risk to personnel on the receiving end. ",Damage / Loss Of Equipment,Critical
A workboat suffered engine failure to the starboard engine. The vessel was able to make way slowly on one engine but was drifting towards land. A search and rescue (SAR) vessel was tasked to the scene to assist and tow if required. The SAR vessel escorted the workboat back to port.,Loss Of Control,Critical
A cruise ship passenger was walking by the pool area when they tripped over a sun lounger and fell onto their right arm causing a fracture to the top of the right humerus. A crew member assisted the passenger to the medical centre for treatment. The area was investigated and no defects were found.,Accident to person(s),Low
"An offshore supply vessel was under pilotage and maneuvering in a port area, when the pilot took action to avoid another offshore supply vessel. During the maneuver the pilot reportedly lost control which resulted in the vessel coming into contact with a wooden fender ashore. The wooden fenders were undamaged and the vessel sustained scrapes to the stern area that contacted the fenders. There was no significant damages, no injuries or pollution. ",Contact,Critical
"A recreational speed boat struck a recreational inflatable rowboat in a river, causing one of the crews of the rowboat to be knocked unconscious and sustain cuts and bruises. The speed boat was using a single white light in accordance with local navigation rules whereas the row boat was unlit. The unconscious crew member of the row boat was rescued from the water and taken ashore, where they regained consciousness. The row boat was damaged as the rubber was cut, causing it to deflate. The injured crew member of the row boat was taken to hospital and discharged shortly after. The row boat was not permitted to use that section of the river as vessels need a license to do so. The speed boat was licensed but was exceeding the speed limit. ",Collision,Low
"A trailing hopper suction dredger had a problem with the discharge gear meaning that they needed to leave the berth in a hurry, to avoid grounding. The port mobilized a pilot and departure proceedings as quickly as they could and the vessel was able to depart early and without touching the bottom. There were no damages, injuries or pollution.",Damage / Loss Of Equipment,Critical
"A ro-pax vessel was alongside in a port waiting for a bunkering operation to commence. The bunker wagon was on the vehicle deck, the driver removed the cap from the bunker hose. There was fuel in the hose and this spilled onto the deck. The flow was quickly stopped and a clean up on deck commenced. Estimate spillage comprised of 40 litres. Following departure, a sheen was reported indicating that a lesser quantity had gone overboard into the harbour.",Loss Of Control,Critical
"The passenger vessel grounded after leaving a lock. The Master put engines full astern, the vessel came free. A second attempt was made but further to starboard and again the vessel grounded. A workboat was deployed to assist and after 2.5 hours the vessel floated and continued passage. There were no reports of pollution, vessel damage or injuries to crew or passengers.  ",Grounding / Stranding,Low
"Two tugs were made fast in a rafted fashion, when a vessel passed at excessive speed causing wash that resulted in the two tugs parting their mooring lines and drifting down the river on the ebbing tide. The crews on board the two vessels realised the problem before they got into further difficulty and started their engines and made their way back to the berth. There was no damage other than the parted mooring lines, and no injuries or pollution. ",Loss Of Control,Critical
"A ro-pax vessel experienced a fire in the stairwell due to an electrical problem. A deckhead lamp started to smoulder and triggered the fire detection system. Two crew members attended the area and extinguished the light using a portable extinguisher. They secured the area, isolated the electrical power and ventilated the area. There were no injuries, pollution or severe damage. The crew inspected the similar lamps on board the vessel to ensure that the fault didn't exist in other locations. ",Fire / Explosion,Critical
"A tug was proceeding in a navigable channel to assist an incoming tanker, however, they were not able t make fast to the tanker due to heavy fog. The tug then left the navigable channel and grounded on a sand bank. The tug crew requested assistance however they were able to manoeuvre themselves free without assistance and return to the berth. There was no damage, pollution or injuries reported. The incident reportedly occurred as a result of losing situational awareness in dense fog where the visibility was approximated to be 165m. ",Grounding / Stranding,Low
"An oil tanker was preparing to depart, whilst letting go of a stern line, it became fouled in the propeller. Divers were arranged to remove the rope from the propeller.",Loss Of Control,Critical
A search and rescue (SAR) vessel crew member was taking part in an exercise aboard the vessel when they felt a pulling sensation to their abdomen whilst moving. This later turned out to be an abdominal hernia due to the stress of the movement. The crew member went to hospital on their own.,Accident to person(s),Low
"Standby safety vessel was under pilotage when it was decided that the vessel would be swung at berth. The pilot manoeuvred the vessel into position of the berth and started to swing while the deck crew were calling out regular distances. Shortly after, the bow struck the quayside as a result of human error. This resulted in a punctured bow from the bollard. ",Contact,Critical
"A fishing vessel arrived in harbour, came alongside and made fast. Propulsion control was handed back to the engine room, when the vessel surged forward parting several mooring lines. A crew member in the engine room noticed this from the CCTV and wound back the pitch control to astern where the vessel stopped and then surged astern, parting the remaining mooring lines and made contact with an offshore service vessel that behind and alongside. Minimal damage to the fishing vessel. Minor damage to the off-shore service vessel. A review will be undertaken of the control systems on the fishing vessel.",Collision,Low
A cruise ship crew member was cleaning out food waste from a basin when they were cut by a piece of broken glass mixed in with the waste. The wound then became infected requiring the crew member to be disembarked for specialist treatment. The crewmember was not wearing gloves at the time of the incident. ,Accident to person(s),Low
Cruise ship's passenger was walking when another passenger was holding a bag with straps. The injured passenger did not notice the straps and tripped on them resulting in a fall. The casualty sustained a hip fracture. ,Accident to person(s),Low
Container ship's pilot ladder not rigged per SOLAS regulations. Ladder only secured with choke shackles. Boarding area poorly lit. ,Damage / Loss Of Equipment,Critical
"Container ship's pilot ladder did not conform to SOLAS regulations. Vessel freeboard larger than 9m, single ladder used no combination ladder. When embarking at pilot station.",Damage / Loss Of Equipment,Critical
"A passenger vessel was manoeuvring in a basin area of a port when a strong gust of wind pushed the vessel off course. The crew attempted to stop the vessel from hitting nearby moored vessels, but it ended up colliding with one of them causing material damage in the form of broken stringers and deck fittings. The damage was not noticed by the crew of the passenger ship initially, but a shore employee discovered the damage the following day. There was minor damage to the passenger vessel. There were no injuries. The moored fishing vessel that was damaged was not occupied at the time of the accident.",Collision,Medium
"A fishing vessel crew member caught their hand in the hauler while they were retrieving stones at the end of the line.  The crew member disembarked, went to hospital and treated for a crush injury to two fingers on the right hand. ",Accident to person(s),Low
"A small fire occurred in a cabin onboard a supply vessel. The smoke alarm activated and fire extinguished by one member of crew using a CO2 fire extinguisher. The fire alarm was raised with the crew meeting at the muster point onboard The Fire Brigade was called to attend, they confirmed the area safe. There was damage to the thermostat and discolouration to a bulkhead due to the thermostat overheating. There was no pollution or injuries.",Fire / Explosion,Critical
ALB was towing a sailing vessel with an engine failure. As the skipper was about to go aground the ALB made contact with them in order to push the vessel onto a safer course and remove the risk. This has resulted in minor damage to both vessels. ALB sustained damage to the gel coat while the sailing vessel sustained minor damage to the gunwhale. ,Collision,Low
A bulk carrier's pilot ladder did not conform to SOLAS regulations. Tripping line made fast below first spreader and lead aft. Unable to communicate this to master after disembarking.,Damage / Loss Of Equipment,Critical
"A single handed potting vessel sank and the crew member went over board. The crewmember was pulling a shellfish pot on board when part of the gear snagged and caused them to lose their balance and fall into the water, capsizing the small vessel at the same time. The crewmember was wearing a life jacket and a personal locator beacon. They were also able to activate emergency flares which were seen by people on the shore who raised the alarm. A local search and rescue (SAR) vessel launched and recovered the crewmember after 30 minutes in the water. They took the crewmember ashore who received first aid from the shoreside ambulance service and although cold, they were not seriously injured. The SAR vessel was also able to recover the sunken vessel and tow it back to port.",Capsizing / Listing,Critical
"A cruise ship was alongside in port when one of the passengers called for assistance due to a fire on the battery of their electric mobility scooter. There were two batteries that were found to be overheating and the passenger attempted to assist the situation by carrying one of the batteries to an open deck area, but dropped it. The crew managed to contain the situation without further incident and there were no injuries, damage or pollution.",Fire / Explosion,Critical
"A landing ship crew member was taking part in recreational activities on board to celebrate crossing the equator, when they stubbed their toe. This resulted in the crew member sustaining a fracture which required them to take approximately 28 days off work and being medically discharged from the vessel. Reportedly the crew member had been wearing footwear before the injury but had removed it because they did not want it to get wet.",Accident to person(s),Low
"A commercial RIB crew member sustained broken ribs when disembarking. The RIB was at a jetty during low water which meant that only the bow of the vessel could touch the jetty and the RIB was unable to pull up alongside. A crew member was instructed by the skipper to 'step off the bow' to tie a line on the jetty. The skipper was keeping the bow of the vessel against the jetty as the other crew member stepped down, slipping on the seaweed of the jetty and falling into the sea. The crew member struck their hip and ribs on the edge of the stone jetty, sustaining fractured ribs and bruising. The skipper did not see that the crew member had slipped from the jetty and into the sea, and continued driving the RIB forward onto the crew member. Fortunately, the crew member was able to push back the boat to prevent it from crushing them. ",Accident to person(s),Low
"A pilot vessel experienced propulsion and steering failure. They were able to make their own way back to the berth using the emergency steering. The incident reportedly occurred due to an intermittent fault. A lifeboat was on exercises in the same area and escorted the pilot vessel back, in case they required assistance. ",Loss Of Control,Critical
"A fishing vessel ran aground and refloated on the rising tide. The local lifeboat service stood by to render assistance, but no assistance was necessary. There was no damage sustained and the fishing vessel continued with fishing operations. No pollution or injuries reported.",Grounding / Stranding,Low
General cargo ship's pilot ladder did not conform to SOLAS regulations. On advice of previous port shackles to eyebolts removed but secured by rope with insufficient breaking strain. ,Damage / Loss Of Equipment,Critical
A passenger vessel crew member was ashore assisting with passengers embarking when the crew member fell into the water after suffering a possible medical event. The crew member was not wearing a lifejacket but was recovered and passed into the care of the ambulance service.,Accident to person(s),Critical
A dive support vessel crew member dislocated their shoulder when they attached a cargo net to a deck crane hook. The crewmember departed the vessel to attend a local hospital and have the shoulder relocated.,Accident to person(s),Low
Tug suffered a fire as a result of oil/other liquids (not fuel) has got under the lagging and soaked over time. This caused smoke and then ignition resulting in 3 small flames when the engine ran on load. ,Fire / Explosion,Critical
"A crew member was waiting to place items into a warewash machine. Nearby was a dispenser containing an alkali sodium hydroxide detergent that fed into the machine. Another crew member came into the area, opened the dispenser, as took the container out, some water that had pooled inside the dispenser came out with the container and into the face of the first crew member. Realising they had received a chemical splash to the eye, they went to a nearby sink and began washing the area and further flushed the eye with a bottle of sterile water. The crew member was off work for more than 72hrs.",Accident to person(s),Low
A crude oil tanker and a bulk carrier had a close-quarters situation whilst transiting in a traffic separation scheme. The distance between the two vessels at their closest was reportedly 3 cables (approx. 550m). The tanker reported slowing down from full ahead to dead slow ahead and altering to starboard. The bulk carrier was not reported as altering her course or speed during the encounter. The crude oil tanker passed behind the stern of the bulk carrier.,Collision,Critical
"A motor vessel ran aground on rocks and the 3 occupants abandoned to a dinghy. The occupants were taken ashore by the lifeboat service but the vessel itself was a constructive loss. There were no injuries, the pollution is not confirmed. ",Grounding / Stranding,High
Sailing yacht capsized with two crew on board. The crew were recovered by nearby vessels and the sailing yacht was towed back to shore. No injuries were reported.,Capsizing / Listing,Critical
Container ship's pilot ladder not rigged per SOLAS regulations. Ladder secured by metal bar under platform and aft of platform metal bar over ladder.,Damage / Loss Of Equipment,Critical
"A passenger sailing vessel was transiting through a lock when they parted a mooring line. There were people on the quay at the time but no one was injured, there was no pollution or damage to the vessel. ",Damage / Loss Of Equipment,Critical
"Cruise ship's passenger stepped off the side of the gangway ramp and reached out to grab the barrier stanchion. The passenger list their balance and fell down, landing on their hip. This resulted in a closed hip fracture. The passenger was taken for further medical advice and at this time they were in a stable condition. ",Accident to person(s),Low
Container ship grounded briefly upon arrival at port following loss of engine power. Refloated with flooding tide and 4 tugs in attendance before being directed back alongside for inspection. ,Grounding / Stranding,Low
Container ship's pilot ladder did not conform to SOLAS regulations. The ladder for disembarking was rigged with shackles around the ropes and resting against the rope clamps. The ladder was not really necessary due to the freeboard and the height of the launch in this situation but is obviously the normal condition for rigging and incorrect,Damage / Loss Of Equipment,Critical
"The vessel had sailed to bring a welding team to a WPB pontoon and moored alongside the pontoon. The welding team was transferred and the vessel remained alongside and waited for the welding team to bring them back to the shore when they are finished. The crew opened a hatch cover to ventilate the void because condensation was observed in the void. Sometime later it was decided to clean the windows, two of the windows are located above the open void. One of the crew members fell into the open void while cleaning the windows and broke five ribs. The crew member climbed out of the void and walked to the aft of the vessel where they met the captain, the captain stabilized the crew member and then informed the MCC. The Captain unmoored and sailed back to the Marina. The vessel arrived at the marina where an ambulance was waiting, the ambulance left the marina and brought the casualty to the hospital. The crew member was kept in hospital for 1 night for observation and was released from hospital in the afternoon the next day and is now recovering at a family residence.",Accident to person(s),Low
"A search and rescue vessel was under way when it grounded on a rock. The vessel did not become stuck and was able to make it's way back to it's station, where a damage assessment was carried out. The vessel damaged it's out board engine's casing, skeg and the propeller blades. The damage was not severe. There was no pollution and no injures. ",Grounding / Stranding,Low
Passenger ship's ladder was not rigged per current SOLAS regulations. Not rigged correctly as using shackles and rope eyes through the side ropes.,Damage / Loss Of Equipment,Critical
A research/survey vessel was conducting fishing operations using a single 4m beam trawl from the starboard towing post aft whilst hauling with only 22m. A loud thud was heard. The pin holding the trawl block in place had slipped and the retaining plate fell to the deck. No persons were injured. ,Damage / Loss Of Equipment,Critical
A cruise ship passenger got their left foot caught under a sun lounger and the momentum caused the passenger to fall on their right side. This fall resulted in a suspected periprosthetic fracture to the hip. The passenger was medically disembarked to a shoreside hospital.,Accident to person(s),Low
"A ro-pax vessel was pushed broad side against a slip way by strong winds and grounded. There was no pollution, injuries or damage reported. The local lifeboat service assisted the vessel off the slipway and it was able to continue the rest of its daily operations without further incident.",Grounding / Stranding,Low
"An chemical/oil tanker suffered a spill of gas oil cargo whilst loading due to a spectacle for the gas freeing line being erroneously left open. When the cargo was loaded, it entered the gas freeing line and filled it, subsequently overflowing onto the main deck. A small amount of the gas oil went overboard. ",Loss Of Control,Critical
"Workboat crewmember attempted to disembark the boat as it was coming alongside a pontoon, and before it had been properly secured. As she pushed off from the boat it moved away from the pontoon and the crewmember lost balance and fell backwards onto the conning console. She was attend3ed by paramedics 15 minutes later and walked off the boat with assistance 90 minutes after the accident. She was taken to hospital where scans showed a fracture at C6/7. There was no loss of movement or permanent damage. ",Accident to person(s),Low
Oil tanker's crew member was rigging the bosun chair and showing how to lower the manila rope when they fell on their posterior side of the pelvic region. The individual took 7 days off from work. ,Accident to person(s),Low
"An oil tanker crew member was transferring stores through a skylight into the engine room rather than through the door. Whilst lowering the bags, the skylight hatch cover fell and and slammed onto the crew member's left hand. The crew member was examined and sent ashore for further medical treatment due to swelling and possible fracture, assessment confirmed bruising and swelling but no fracture. The crew member embarked the following day.",Accident to person(s),Critical
"A yacht collided with another yacht after missing a tack, this resulted in water ingress coming into the cabin, the bilge pump managing to stem off water ingress enough to make it safely to a local port. ",Collision,Medium
A utility vessel suffered engine failure outside a harbour whilst waiting to hand over a fishing vessel that it had towed. The utility vessel tried to anchor but was unable to as it was stuck. The tug took both vessels in an alongside tow into harbour.,Loss Of Control,Critical
A cruise ship passenger fell on the bottom two steps of a staircase and landed on their shoulder before rolling onto their chest. They sustained a fractured humerus and a dislocated shoulder. The area was inspected and there were no defects found and it was well lit. The steps were made from marble. The passenger remained on board and went to a specialist in the next port for further treatment.,Accident to person(s),Low
Dive vessel lost power resulting in drifting away from two divers in water. Towed to safety by RNLI.,Loss Of Control,Low
"A search and rescue (SAR) vessel was on passage when the trim tabs were not operating as they should. A fire alarm sounded showing smoke in the jet space and a crew member went to isolate the trim tab motor at the distribution board to investigate the issue. After investigation, the space was vented and noticed that the trim tab motor/wiring was showing signs of melting which caused the smoke. Wires were taken off and the motor taped up which allowed them to continue their passage.",Damage / Loss Of Equipment,Critical
"A cruise ship passenger tripped on a step when following guests into a lounge. The passenger has not seen the step, this resulted in a dislocated elbow.",Accident to person(s),Low
"A sail training vessel grounded on a submerged wreck. The crew were navigating the vessel near the coast as it was a land mark however the crew underestimated the effect of the tide and the vessel drifted onto a submerged wreck. The crew felt the contact however the vessel did not become stuck and was able to make its way to port. There were no injuries, damage or pollution. ",Grounding / Stranding,Low
"A cargo vessel was alongside when a crew member fell around four and a half metres down a flight of stairs. The crew member sustained injuries to their back, chest and elbow but was able to walk short distances. A coastguard team assisted the ambulance service with the extraction of the casualty and was then transported to hospital for further care.",Accident to person(s),Low
"A general cargo vessel was transiting a passage way on approach to it's berth. As it passed the vessel touched the starboard side of the quay, resulting in slight damage to the quayside and scratches on the vessel's rubbing strake.",Contact,Critical
Offshore supply vessel's pilot ladder not rigged per SOLAS regulations. Pilot ladder was secured to the bulwark strong points by shackles passed through the side ropes. The weight of the ladder was on the wooden step which was tucked under a metal step on the inside of the bulwark. The ladder was adjusted to take the weight off the step and was secured with rope before boarding. ,Damage / Loss Of Equipment,Critical
A search and rescue vessel was engaged in towing another search and rescue vessel when the two of them collided resulting in minor damage to the towing vessel. The crew of the towing vessel reported the reason for the collison was due to tidal conditions that lead to a disturbance of the water between the vessels. ,Collision,Low
"A ro-ro vessel was in a lock departing from port when the port shoulder made contact with a shore structure. The vessel proceeded with departure following the incident. The incident reportedly occurred due to the crew member on the bridge mistakenly operating the stern thruster when they meant to operate the bow thruster, causing the vessel to move towards the shore. There was no significant damage, just some paint scratches. ",Contact,Critical
A sail training vessel grounded on a mud bank. The vessel grounded without sustaining damage or injuries to those onboard. The vessel refloated on the next tide with assistance from a search and rescue (SAR) vessel and then proceeded to its destination under its own power.,Grounding / Stranding,Low
"The inshore vessel was on patrol and heading further out to sea. The crew mistimed trying to get through a large wave, striking the wave when it was a its peak. As the bow crested the wave it was caught by the wind resulting in a capsize. No injuries, vessel damage or pollution reported.",Capsizing / Listing,Critical
"A pleasure motor vessel struck a swimmer, who sustained a head injury. The swimmer was using an orange buoy to alert vessels to their position, however the motor vessel ran them over, striking them on the head. They were picked up from the water and taken ashore, where the local ambulance service took them to hospital. The injury was originally thought to be very serious, and a helicopter was dispatched, however, it was cancelled after the extent of the injury was not as severe as initially thought. The swimmer spent several hours in hospital and was diagnosed with an open wound on the back of their head and a concussion. ",Accident to person(s),Low
General cargo vessel suffered a fire in the cargo hold whilst alongside. The crew managed to extinguish the fire and the fire units arrived as a safety precaution. No injuries were sustained or any further damage. ,Fire / Explosion,Medium
A sail training yacht was approaching a harbour entrance when the crew misidentified the first buoy and cut the corner to the approach resulting in the vessel grounding. The skipper reversed off and the lack of wave action meant the boat was not dropped onto its keel. There was no damage to the vessel and no injuries were sustained.,Grounding / Stranding,Low
Container ship’s pilot ladder did not conform to SOLAS regulations,Damage / Loss Of Equipment,Critical
No stanchions / handholds only flat bar of ships side rails. Master advised he already has compliant stanchions in the ship ‘s workshop ready to fit. He advised they will be fitted before the next visit. Not yet fitted due to requiring a hot work permit. pilot ladder did not conform to SOLAS regulations.,Damage / Loss Of Equipment,Critical
"Cargo vessel was approaching a dock when it was noted that a steering control failure had occurred. Navigation control was shifted back to the center conning position for the final approach to the berth. The pilot tug leaned back and increased from half to full - used to arrest the forward motion. The gain for the steering control did not occur until it was switched into emergency push button operation. By this time the vessels movement had been stopped more or less in final position. There were no collision, damages or injuries reported. ",Loss Of Control,Critical
Cruise ship's passenger missed a step and fell. They fell on their left side on the marble floor resulting in a fractured hip. ,Accident to person(s),Low
"A rib experienced a fire onboard whilst on the water, the three people onboard abandoned and swam to a nearby shore. Huge amounts of black smoke were seen coming from the vessel explosions were heard. As the vessel was inaccessible, the fire service left it to burn itself out on the shoreline. The three people who abandoned were recovered by a search and rescue vessel and taken back to a place of safety.",Fire / Explosion,High
"A search and rescue vessel was carrying out a training exercise involving the operation of the emergency steering system. The skipper turned the system over to the emergency system while travelling at high speed but due to disconnected communications, the other crew did not hear the warning. The torque of the propellers during the sudden maneuver caused the boat to swing to port and stop suddenly. One crewmember was thrown over board and another fell onto the floor of the boat. The vessel recovered control and was able to rescue the crewmember who fell over board. There were no serious injures, pollution or damages. The incident reportedly happened due to lack of communications and conducting the event at high speed rather than stopping to change over to emergency steering. The skipper of the vessel had practiced this at another rescue boat station without incident so didn't anticipate the outcome. ",Loss Of Control,Critical
"Pleasure craft engine failed to restart and drifted after failed towing attempt, resulting in crew member abandoning ship and loss of vessel. ",Flooding / Foundering,High
"A sailing yacht ran aground on a rock reef. The two crew onboard abandoned to the liferaft. A search and rescue (SAR) vessel was tasked to the scene to recover the two crew. The sailing yacht later refloated on the flood tide, one crew member transferred back to the yacht with the SAR vessel taking it under tow. The other crew member remained on the SAR vessel. No injuries to crew and no obvious damage or water ingress to the vessel.",Grounding / Stranding,Low
A recreational sailing vessel crewmember fell and hit the back of their head and reportedly lost consciousness. Lifeboats were tasked and a paramedic was winched onto lifeboat to assist the casualty who was passed ashore into the care of the ambulance service. ,Accident to person(s),Low
"A fishing vessel received  a call from a cargo vessel to ask if they could cross bow of the fishing vessel. Confirmed it was ok if they maintained a safe distance from the vessel.  The fishing vessel had gear down and was fishing, the distance of the cargo vessel was closing and on a collision course. Communication commenced on VHF 16 and VHF 06 to warn the cargo vessel of the collision.  The cargo vessel tried to alter course with the fishing vessel altering course to starboard to try and be parallel with the approaching vessel. The cargo vessel made contact with portside derrick, which then twisted the gantry. All crew mustered in the galley and the crew checked the hull for damage or water ingress. No injuries to crew.",Collision,Low
"A bulk carrier parted two mooring lines whilst alongside. The bulk carrier was involved in discharging cargo when two mooring lines on the forward part of the vessel parted due to friction, freeboard variation from tide and cargo discharge and the steep angle of the lines down to the berth. The lines were fitted with a chafe guard but this didn't protect the two parted mooring lines. The angle of the mooring lines was reported to be close to the vertical. The vessel reported that the mooring lines should have been adjusted more often due to the rapidly changing circumstances. The same was discussed with the crew after the incident. There were no injuries, pollution or further damages. ",Damage / Loss Of Equipment,Critical
The lifeboat started to return back to shore from tasking when it caught a rock in the centre of the hull. The lifeboat immediately went astern to avoid further damage and continued with its passage. No damages/injuries reported. ,Grounding / Stranding,Low
"A cruise ship passenger was playing table tennis when they tripped and fell, hitting a metal pole near the table. The passenger sustained a broken femur. The area was inspected and there were no defects found and the incident was thought to be loss of co-ordination/situational awareness on the part of the passenger. ",Accident to person(s),Low
An offshore supply vessel was berthed in port when the fire detector on the bridge indicated a “smoke” alarm. Two crew went to the bridge and raised the fire alarm as there was a smell of smoke. The port authority was called and requested that they call the fire service. Smoke was reported in the galley and laundry room but no actual fire sighted. A third crew member who was at the muster station on the main deck reported that flames were seen coming from the air conditioning (AC) room. A fire fighting team was directed to the AC room where a crew member had already used two fire extinguishers to reduce the intensity of the fire. The fire fighting team used fire hoses to extinguish fire and cool the area until the local fire service arrived and took control and declared the fire was out.,Fire / Explosion,Critical
The crew of a ro-pax vessel were working in the void space for the clam doors to clean up a hydraulic oil spill when one crew member slipped on the combination of hydraulic oil and degreaser and fell to the deck. They stopped work and were given first aid on board in the form of pain relief. However the injury did not improve and the crewmember disembarked and attended a local hospital where it was reported that they had sustained bruised kidneys and back muscles. They were advised to return home and attend their local GP practice. The cause of the incident was reported to be the crew member potentially underestimating the slipperiness of the deck after the hydraulic oil and degreaser were combined. ,Accident to person(s),Low
"General cargo ship's ladder secured by shackles through side ropes placing weight on the crimps securing chocks beneath steps. On boarding from shoreside via short ladder crew requested to rig ladder correctly without shackles in time for disembarkation. On disembarkation, ladder secured by shackles. ",Damage / Loss Of Equipment,Critical
A crude oil tanker had an inadequate pilot ladder arrangement due to the fact that the ladder was in poor condition. The side ropes were stretched and the steps were not horizontal. ,Damage / Loss Of Equipment,Critical
Commercial sailing yacht sustained steering damage and engine failure. RNLI ALBs tasked to multiple 406 beacon alerts and a red flare. All persons on board were well and the ALB towed to the casualty vessel back to the marina. ,Loss Of Control,Critical
"A passenger was sitting at a dining table when the vessel rolled, and their chair slid sideways and toppled over and fell sideways whilst still in the chair landing on the chair’s armrests impacting their lower back and ribcage on the right side. As a result they had fractured their lower back, rib and a doctor who was travelling as a passenger offered their assistance. They assessed the passenger for injuries before additional ship staff attended. The doctor confirmed ship staff that there was no need for a medical evacuation or disembarkation of the passenger in the next port.   ",Accident to person(s),Low
